gropID  primID   auxID  Station name            Lat.(N)    Long.(E)     Xgrid    Ygrid      Elev  NXpos  NYpos   Last moved Date
123456  123456  123456  1234567890123456789  1234567890  1234567890  12345678  12345678  1234567  12345  12345  1234567890123456
------  ------  ------  -------------------  ----------  ----------  --------  --------  -------  -----  -----  ----------------
047200  047070  047070  Kaesong                37.96667   126.56667     52.68    135.31     70.0   53.0  135.0  1900.01.01.00:00
047200  047075  047075  Pyonggang              38.41667   127.28333     64.76    145.20    371.0   65.0  145.0  1900.01.01.00:00
047105  047090  047090  Sokcho                 38.25085   128.56471     86.60    142.13     18.1   87.0  142.0  1968.01.01.00:00
047105  047095  047095  Cheorwon               38.14787   127.30420     65.21    139.38    155.5   65.0  139.0  1988.01.01.00:00
047109  047098  047098  Dongducheon            37.90188   127.06070     61.13    133.99    115.6   61.0  134.0  1998.02.01.00:00
047109  047099  047099  Paju                   37.88589   126.76648     56.11    133.59     30.6   56.0  134.0  2013.10.22.10:00
047105  047100  047100  Daegwallyeong          37.67713   128.71832     89.63    129.80    772.6   90.0  130.0  2006.11.07.00:00
047105  047101  047101  Chuncheon              37.90256   127.73570     72.67    134.21     76.5   73.0  134.0  1966.01.01.00:00
047109  047102  000528  Baengnyeongdo          37.97396   124.71241     21.01    135.61     36.0   21.0  136.0  2018.05.01.00:00
047105  047104  047104  Bukgangneung           37.80456   128.85535     91.88    132.64     78.9   92.0  133.0  2008.07.28.09:00
047105  047105  047105  Gangneung              37.75147   128.89098     92.53    131.51     26.0   93.0  132.0  1911.10.03.00:00
047105  047106  047106  Donghae                37.50708   129.12433     96.73    126.37     39.9   97.0  126.0  1992.05.01.00:00
047109  047108  047108  Seoul                  37.57142   126.96580     59.60    126.81     85.7   60.0  127.0  2010.08.16.00:00
047109  047112  047112  Incheon                37.47772   126.62490     53.76    124.72     69.0   54.0  125.0  2013.10.22.00:01
047105  047114  047114  Wonju                  37.33756   127.94660     76.57    122.05    148.6   77.0  122.0  1971.09.06.00:00
047143  047115  047115  Ulleungdo              37.48129   130.89864    127.25    127.34    222.4  127.0  127.0  1938.08.10.00:00
047109  047119  047119  Suwon                  37.27226   126.98533     60.01    120.33     34.8   60.0  120.0  1964.01.01.00:00
047105  047121  047121  Yeongwol               37.18126   128.45743     85.49    118.90    240.6   85.0  119.0  1994.12.01.00:00
047131  047127  047127  Chungju                36.97038   127.95266     76.87    114.08    116.3   77.0  114.0  1972.01.01.00:00
047133  047129  047129  Seosan                 36.77661   126.49391     51.59    109.49     25.9   52.0  109.0  1968.01.01.00:00
047143  047130  047130  Uljin                  36.99176   129.41278    102.17    115.40     50.0  102.0  115.0  1971.01.12.00:00
047131  047131  047131  Cheongju               36.63924   127.44066     68.12    106.70     58.7   68.0  107.0  1967.01.01.00:00
047133  047133  047133  Daejeon                36.37200   127.37212     67.03    100.87     68.9   67.0  101.0  1969.01.01.00:00
047131  047135  047135  Chupungnyeong          36.22023   127.99457     78.01     97.80    243.7   78.0   98.0  1937.01.11.00:00
047143  047136  047136  Andong                 36.57293   128.70732     90.25    105.83    140.1   90.0  106.0  1983.01.01.00:00
047143  047137  047137  Sangju                 36.40838   128.15742     80.75    101.97     96.2   81.0  102.0  2002.01.01.00:00
047143  047138  047138  Pohang                 36.03201   129.38002    102.48     94.53      3.9  102.0   95.0  1943.01.01.00:00
047146  047140  047140  Gunsan                 36.00530   126.76135     56.41     92.75     23.2   56.0   93.0  2003.12.31.00:00
047143  047143  047141  Daegu                  35.87797   128.65295     89.80     90.69     53.5   90.0   91.0  2017.08.25.00:00
047146  047146  047146  Jeonju                 35.84080   127.11900     62.76     89.24     61.4   63.0   89.0  2015.07.01.00:00
047159  047152  047152  Ulsan                  35.58250   129.33472    102.09     84.71     82.0  102.0   85.0  2017.08.25.00:00
047159  047155  047155  Changwon               35.17020   128.57285     88.89     75.22     37.6   89.0   75.0  2010.07.22.00:00
047156  047156  047156  Gwangju                35.17294   126.89158     58.90     74.64     72.4   59.0   75.0  1939.05.01.00:00
047159  047159  047159  Busan                  35.10468   129.03203     97.13     74.08     69.6   97.0   74.0  1904.04.09.00:00
047159  047162  047162  Tongyeong              34.84546   128.43559     86.65     68.06     32.3   87.0   68.0  1968.01.01.00:00
047156  047165  047165  Mokpo                  34.81689   126.38121     49.84     66.79     38.0   50.0   67.0  1904.04.08.00:00
047156  047168  047168  Yeosu                  34.73929   127.74064     74.25     65.42     64.6   74.0   65.0  1942.03.01.00:00
047156  047169  047169  Heuksando              34.68719   125.45103     33.14     63.97     76.5   33.0   64.0  1997.01.01.00:00
047156  047170  047170  Wando                  34.39587   126.70184     55.67     57.63     35.2   56.0   58.0  1971.01.31.00:00
047146  047172  047172  Gochang                35.34890   126.59900     53.66     78.43     52.0   54.0   78.0  2010.12.01.00:00
047156  047174  047256  Suncheon               35.02040   127.36940     67.48     71.43    165.0   67.0   71.0  2011.04.01.00:01
047133  047177  047177  Hongseong              36.65761   126.68772     54.99    106.93     25.6   55.0  107.0  2017.10.31.14:00
047184  047184  047184  Jeju                   33.51411   126.52968     52.69     38.29     20.4   53.0   38.0  1923.05.01.00:00
047184  047185  047185  Gosan                  33.29382   126.16283     45.99     33.42     71.5   46.0   33.0  1988.01.01.00:00
047184  047188  047188  Seongsan               33.38677   126.88020     59.13     35.55     20.3   59.0   36.0  2008.09.04.10:45
047184  047189  047189  Seogwipo               33.24613   126.56534     53.38     32.41     49.0   53.0   32.0  2010.11.09.20:57
047159  047192  047192  Jinju                  35.16379   128.04002     79.39     74.81     30.2   79.0   75.0  2005.11.23.19:32
047109  047201  047201  Ganghwa                37.70739   126.44634     50.65    129.68     47.8   51.0  130.0  1972.01.11.00:00
047109  047202  047202  Yangpyeong             37.48863   127.49446     68.72    125.16     47.3   69.0  125.0  1972.01.11.00:00
047109  047203  047203  Icheon                 37.26399   127.48421     68.63    120.28     80.1   69.0  120.0  1972.01.11.00:00
047105  047211  047211  Inje                   38.05987   128.16713     79.95    137.80    200.2   80.0  138.0  1971.12.01.00:00
047105  047212  047212  Hongcheon              37.68358   127.88040     75.26    129.52    139.9   75.0  130.0  1971.09.27.00:00
047105  047216  047216  Taebaek                37.17031   128.98927     94.69    118.98    712.8   95.0  119.0  1985.08.01.00:00
047105  047217  047217  JeongseoGun            37.38130   128.64610     88.60    123.34    307.4   89.0  123.0  2010.08.06.00:00
047131  047221  047221  Jecheon                37.15927   128.19431     80.95    118.29    259.8   81.0  118.0  1972.01.11.00:00
047131  047226  047226  Boeun                  36.48759   127.73412     73.31    103.51    175.0   73.0  104.0  1972.01.09.00:00
047133  047232  047232  Cheonan                36.76240   127.29270     65.50    109.33     81.5   66.0  109.0  2016.04.01.00:01
047133  047235  047235  Boryeong               36.32724   126.55744     52.77     99.73     10.0   53.0  100.0  1972.01.24.00:00
047133  047236  047236  Buyeo                  36.27242   126.92079     59.15     98.59     11.8   59.0   99.0  1972.01.09.00:00
047133  047238  047238  Geumsan                36.10270   127.48170     69.05     95.05    170.3   69.0   95.0  1972.01.09.00:00
047146  047243  047243  Buan                   35.72954   126.71655     55.67     86.74     12.0   56.0   87.0  1972.03.01.00:00
047146  047244  047244  Imsil                  35.61203   127.28556     65.78     84.30    247.0   66.0   84.0  1970.06.02.00:00
047146  047245  047245  Jeongeup               35.56306   126.83917     57.88     83.13     69.8   58.0   83.0  2016.11.01.00:00
047146  047247  047247  Namwon                 35.42129   127.39652     67.81     80.18    132.5   68.0   80.0  2017.08.25.00:00
047146  047248  047248  Jangsu                 35.65695   127.52029     69.92     85.36    406.5   70.0   85.0  1988.01.01.00:00
047156  047252  047252  ---------              35.28367   126.47779     51.51     76.99     37.2   52.0   77.0  2007.11.26.00:00
047159  047253  047253  ---------              35.22666   128.89301     94.55     76.65     53.3   95.0   77.0  2008.02.13.14:00
047146  047254  047254  ---------              35.37140   127.12860     63.07     79.02    127.0   63.0   79.0  2008.07.16.20:00
047159  047255  047255  Bukchangwon            35.22640   128.67250     90.62     76.51     48.8   91.0   77.0  2010.07.22.00:00
047159  047257  047257  ---------              35.30720   129.02000     96.75     78.49     14.8   97.0   78.0  2008.12.26.00:00
047156  047259  047259  GainGun                34.62610   126.76890     56.83     62.67     12.5   57.0   63.0  2009.11.10.00:00
047156  047260  047260  Jangheung              34.68875   126.91949     59.52     64.07     45.0   60.0   64.0  1972.01.21.00:00
047156  047261  047261  Haenam                 34.55375   126.56907     53.25     61.06     16.4   53.0   61.0  1971.02.03.00:00
047156  047262  047262  Goheung                34.61826   127.27572     65.95     62.62     51.9   66.0   63.0  2017.08.25.00:00
047159  047263  047263  ---------              35.32260   128.28810     83.71     78.39     14.2   84.0   78.0  2010.06.21.00:00
047159  047264  047264  ---------              35.51140   127.74540     73.97     82.27    151.2   74.0   82.0  2010.06.21.00:00
047156  047266  047266  ---------              34.94340   127.69141     73.27     69.86     86.7   73.0   70.0  2017.08.25.00:00
047156  047268  000715  Jindogun               34.47310   126.25850     47.66     59.27      5.4   48.0   59.0  2014.05.09.21:15
047143  047271  047271  Bongwhoa               36.94355   128.91400     93.56    114.01    324.3   94.0  114.0  1988.01.01.00:00
047143  047272  047272  Yeongju                36.87188   128.51695     86.73    112.22    210.8   87.0  112.0  1972.11.28.00:00
047143  047273  047273  Mungyeong              36.62727   128.14799     80.46    106.72    170.6   80.0  107.0  1973.01.01.00:00
047143  047276  047276  ---------              36.43210   129.04230     96.21    102.98    206.2   96.0  103.0  2010.09.01.00:00
047143  047277  047277  Yeongdeok              36.53331   129.40936    102.53    105.44     40.6  103.0  105.0  1972.01.03.00:00
047143  047278  047278  Uiseong                36.35611   128.68800     90.07    101.11     81.8   90.0  101.0  1973.01.01.00:00
047143  047279  047279  Gumi                   36.13000   128.32001     83.77     95.99     48.9   84.0   96.0  1973.01.01.00:00
047143  047281  047281  Yeongcheon             35.97743   128.95142     94.99     93.04     93.8   95.0   93.0  1972.01.21.00:00
047143  047283  047283  GyeongJu               35.81746   129.20091     99.52     89.73     39.2  100.0   90.0  2010.08.06.00:00
047159  047284  047284  Geochang               35.66740   127.90900     76.79     85.73    225.9   77.0   86.0  2011.03.04.14:53
047159  047285  047285  Hapcheon               35.56503   128.16986     81.47     83.62     32.0   81.0   84.0  1973.01.01.00:00
047159  047288  047288  Miryang                35.49148   128.74409     91.70     82.33     11.2   92.0   82.0  1973.01.01.00:00
047159  047289  047289  Sancheong              35.41299   127.87910     76.39     80.17    138.1   76.0   80.0  1972.03.30.00:00
047159  047294  047294  Geoje                  34.88818   128.60452     89.65     69.09     45.4   90.0   69.0  1972.01.24.00:00
047159  047295  047295  Namhae                 34.81662   127.92641     77.55     67.18     45.7   78.0   67.0  1972.01.24.00:00
047184  047299  047299  Ieodo                  32.12295   125.18292     27.74      7.74     36.0   28.0    8.0  1900.02.25.01:00
047143  000096  000096  DokDo                  37.23952   131.86983    144.31    123.23     96.2  144.0  123.0  2009.10.27.00:00
047105  000318  000318  ---------              37.64340   128.67039     88.83    129.04    770.0   89.0  129.0  2015.07.13.00:00
047105  000319  000319  ---------              37.53726   130.87083    126.70    128.52     58.0  127.0  129.0  2014.11.23.11:00
047105  000322  000322  ---------              38.21552   127.66984     71.40    140.96    263.8   71.0  141.0  2015.07.13.00:00
047184  000328  000328  ---------              33.24945   126.40608     50.46     32.46     63.0   50.0   32.0  2015.07.13.00:00
047109  000400  000400  ---------              37.51340   127.04671     61.00    125.57     59.2   61.0  126.0  2010.08.16.00:00
047109  000433  000433  ---------              37.49758   126.76658     56.19    125.17     29.0   56.0  125.0  2003.08.13.12:00
047109  000434  000434  ---------              37.39158   126.95892     59.53    122.91     96.0   60.0  123.0  2003.08.13.17:00
047109  000437  000437  ---------              37.47578   126.86647     57.91    124.72     68.0   58.0  125.0  2010.08.16.00:00
047109  000438  000438  ---------              37.35872   126.93747     59.16    122.19     97.0   59.0  122.0  2003.08.12.14:00
047109  000441  000441  ---------              37.64683   126.70472     55.10    128.40     32.0   55.0  128.0  2003.09.05.14:00
047109  000444  000444  ---------              37.53592   127.21556     63.90    126.10     37.0   64.0  126.0  2003.08.14.15:00
047109  000445  000445  ---------              37.34172   126.97094     59.75    121.83     94.0   60.0  122.0  2003.08.12.17:00
047109  000455  000455  ---------              37.82822   127.51200     68.88    132.52     92.0   69.0  133.0  2003.08.13.20:00
047109  000456  000456  ---------              38.09361   127.07781     61.37    138.15     82.0   61.0  138.0  2003.08.13.17:00
047105  000497  000497  ---------              37.57516   128.85146     91.99    127.67    658.1   92.0  128.0  2002.12.20.17:00
047105  000498  000498  ---------              37.87925   128.51447     86.00    134.06   1015.1   86.0  134.0  2002.12.21.10:00
047109  000504  000504  ---------              37.87035   127.18073     63.20    133.34    105.1   63.0  133.0  2015.07.13.00:00
047109  000516  000516  ---------              37.00371   127.25017     64.68    114.56     23.9   65.0  115.0  2017.08.25.00:00
047105  000517  000517  ---------              38.38537   128.47450     84.97    144.99      4.5   85.0  145.0  2015.07.13.00:00
047105  000519  000519  ---------              38.07545   127.51940     68.90    137.88    297.7   69.0  138.0  2015.07.13.00:00
047105  000522  000522  ---------              37.78710   127.98380     76.97    131.81    187.0   77.0  132.0  2012.11.13.16:23
047105  000523  000523  ---------              37.89830   128.82111     91.22    134.65     10.0   91.0  135.0  2010.12.10.17:37
047105  000525  000525  ---------              37.61234   128.37724     83.82    128.20    552.1   84.0  128.0  2015.07.13.00:00
047105  000526  000526  ---------              37.37787   128.39461     84.27    123.13    303.2   84.0  123.0  2015.07.13.00:00
047105  000527  000527  ---------              37.21150   128.64230     88.66    119.66    392.0   89.0  120.0  2015.07.13.00:00
047105  000529  000529  ---------              37.14156   129.28590     99.84    118.55     40.7  100.0  119.0  2015.07.13.00:00
047143  000530  000530  ---------              37.51500   130.81180    125.72    127.97    178.0  126.0  128.0  2014.12.15.17:31
047109  000531  000531  ---------              37.89807   127.55219     69.54    134.05    109.7   70.0  134.0  2017.08.25.00:00
047109  000532  000532  ---------              37.73476   127.07349     61.40    130.38     89.5   61.0  130.0  2015.07.13.00:00
047109  000534  000534  ---------              37.12100   127.61058     70.87    117.22     88.2   71.0  117.0  2017.08.25.00:00
047105  000535  000535  ---------              37.71700   128.18260     80.42    130.38    313.1   80.0  130.0  2015.07.13.00:00
047105  000536  000536  ---------              37.48761   127.97241     76.94    125.31    110.5   77.0  125.0  2015.07.13.00:00
047109  000540  000540  ---------              37.63730   126.89200     58.31    128.23     44.7   58.0  128.0  2015.07.13.00:00
047109  000541  000541  ---------              37.63406   127.15052     62.75    128.21     26.0   63.0  128.0  2018.10.11.20:00
047109  000542  000542  ---------              37.68414   127.38017     66.68    129.36     42.0   67.0  129.0  1992.11.01.00:00
047109  000545  000545  ---------              37.28103   126.83848     57.48    120.49      5.9   57.0  120.0  2015.10.14.18:30
047109  000546  000546  ---------              37.43529   127.25920     64.69    123.93    122.6   65.0  124.0  2016.08.01.00:00
047109  000548  000548  ---------              37.26883   127.63956     71.31    120.44    118.6   71.0  120.0  2017.08.25.00:00
047109  000549  000549  ---------              37.27011   127.22178     64.10    120.34     79.4   64.0  120.0  2016.04.28.10:41
047109  000550  000550  ---------              37.18787   127.04873     61.13    118.51     41.8   61.0  119.0  2010.12.02.19:41
047109  000551  000551  ---------              36.99223   127.11237     62.29    114.28     36.5   62.0  114.0  2010.11.01.14:34
047105  000552  000552  ---------              38.27218   127.42450     67.21    142.11    238.4   67.0  142.0  2015.07.13.00:00
047105  000555  000555  ---------              38.09640   127.70260     72.02    138.40    113.0   72.0  138.0  2015.07.13.00:00
047105  000556  000556  ---------              38.09798   127.98526     76.83    138.54    188.9   77.0  139.0  2009.09.02.20:54
047105  000557  000557  ---------              37.95260   128.31860     82.60    135.55    336.5   83.0  136.0  2011.11.01.15:09
047105  000559  000559  ---------              37.77800   128.39729     84.06    131.80    574.5   84.0  132.0  2015.07.13.00:00
047105  000560  000560  ---------              37.64790   128.56450     87.01    129.07    540.7   87.0  129.0  2015.07.13.00:00
047105  000561  000561  ---------              37.58220   128.15276     79.99    127.44    222.0   80.0  127.0  2015.07.13.00:00
047105  000562  000562  ---------              37.27540   128.26950     82.18    120.85    283.0   82.0  121.0  2016.08.01.00:00
047105  000563  000563  ---------              37.46340   128.68291     89.18    125.14    358.0   89.0  125.0  2015.12.24.00:01
047109  000565  000565  ---------              37.39160   126.77840     56.42    122.88      7.0   56.0  123.0  2013.12.11.19:53
047105  000566  000566  ---------              37.85155   128.81924     91.23    133.63      8.4   91.0  134.0  2016.07.11.10:31
047109  000569  000569  ---------              37.58224   127.15698     62.88    127.09     27.1   63.0  127.0  2015.07.13.00:00
047109  000571  000571  ---------              37.19525   126.82094     57.19    118.62     45.4   57.0  119.0  1997.05.19.17:00
047109  000572  000572  ---------              37.42093   127.12476     62.37    123.58     28.6   62.0  124.0  2010.11.01.15:46
047105  000579  000579  ---------              37.36685   128.91330     93.22    123.19    609.2   93.0  123.0  2015.07.13.00:00
047105  000580  000580  ---------              37.61346   129.02888     95.01    128.61     58.4   95.0  129.0  2015.07.13.00:00
047105  000581  000581  ---------              37.11640   128.77420     91.01    117.67    420.0   91.0  118.0  2015.07.13.00:00
047105  000583  000583  ---------              37.46460   128.15511     80.09    124.89    530.0   80.0  125.0  2015.07.13.00:00
047105  000586  000586  ---------              38.03209   127.87690     75.02    137.07    226.0   75.0  137.0  2015.08.05.15:38
047105  000587  000587  ---------              38.22620   127.95050     76.17    141.30    280.0   76.0  141.0  2012.10.08.12:01
047105  000588  000588  ---------              37.79182   127.64622     71.19    131.78     93.6   71.0  132.0  1993.10.20.00:00
047109  000590  000590  ---------              37.44028   127.00249     60.26    123.98     46.6   60.0  124.0  2010.12.14.16:50
047105  000593  000593  ---------              38.00740   128.54070     86.36    136.85    146.1   86.0  137.0  2011.11.02.09:09
047105  000594  000594  ---------              38.25330   128.21001     80.57    142.00    316.0   81.0  142.0  2013.12.12.12:01
047105  000595  000595  ---------              38.26644   128.37401     83.35    142.37    596.2   83.0  142.0  2015.07.13.00:00
047109  000598  000598  ---------              37.83118   126.99050     59.95    132.45     87.8   60.0  132.0  2015.07.13.00:00
047131  000601  000601  ---------              36.98553   128.36690     84.05    114.61    184.2   84.0  115.0  2017.08.25.00:00
047131  000602  000602  ---------              36.85390   127.42970     67.85    111.36     90.5   68.0  111.0  2011.09.30.14:01
047131  000603  000603  ---------              36.81613   127.77758     73.91    110.66    120.5   74.0  111.0  2017.08.25.00:00
047131  000604  000604  ---------              36.29995   127.59654     70.99     99.38    117.8   71.0   99.0  2015.07.13.00:00
047131  000605  000605  ---------              36.16314   127.75981     73.91     96.46    137.1   74.0   96.0  2015.07.13.00:00
047133  000606  000606  ---------              37.01061   126.38808     49.73    114.56     23.2   50.0  115.0  2015.12.23.00:01
047133  000611  000611  ---------              36.57220   127.28360     65.41    105.20     26.6   65.0  105.0  2012.09.01.00:01
047133  000612  000612  ---------              36.48284   127.13646     62.87    103.22     24.0   63.0  103.0  2013.12.19.13:59
047133  000614  000614  ---------              36.06248   126.70411     55.39     93.99      6.0   55.0   94.0  2015.07.13.00:00
047133  000615  000615  ---------              36.21157   127.10828     62.45     97.31     11.5   62.0   97.0  2013.12.24.11:40
047133  000616  000616  ---------              36.88936   126.61739     53.72    111.95     52.4   54.0  112.0  2010.11.08.13:47
047133  000617  000617  ---------              36.87817   127.15610     63.08    111.81     41.0   63.0  112.0  2015.07.13.00:00
047133  000618  000618  ---------              36.42372   126.77905     56.63    101.86     97.8   57.0  102.0  2015.07.13.00:00
047131  000619  000619  ---------              36.94441   127.68454     72.23    113.41    161.0   72.0  113.0  2015.07.13.00:00
047131  000623  000623  ---------              36.79560   127.56199     70.17    110.14     74.7   70.0  110.0  2010.07.30.00:00
047131  000624  000624  ---------              36.62435   127.65709     71.90    106.45    244.0   72.0  106.0  2018.05.08.18:00
047133  000627  000627  ---------              36.75853   126.29643     48.16    109.08     40.9   48.0  109.0  2007.07.21.00:00
047133  000628  000628  ---------              36.74214   126.81437     57.18    108.78     38.7   57.0  109.0  2015.07.13.00:00
047131  000630  000630  ---------              37.04198   127.78696     73.96    115.57    116.5   74.0  116.0  2015.12.24.00:01
047133  000634  000634  ---------              36.84578   126.86536     58.04    111.05     29.5   58.0  111.0  2015.07.13.00:00
047133  000635  000635  ---------              36.13190   126.86024     58.12     95.52     10.7   58.0   96.0  2017.08.25.00:00
047133  000636  000636  ---------              36.31320   127.24070     64.74     99.56    132.0   65.0  100.0  2015.12.08.13:50
047133  000642  000642  ---------              36.31050   127.40610     67.64     99.55     77.3   68.0  100.0  2015.12.23.00:01
047105  000651  000651  ---------              38.27719   127.20560     63.49    142.16    216.0   63.0  142.0  2015.07.13.00:00
047109  000652  000652  ---------              38.02648   127.07807     61.39    136.70     51.9   61.0  137.0  2016.08.01.00:01
047105  000660  000660  ---------              37.56197   128.37762     83.86    127.11    533.5   84.0  127.0  2015.07.13.00:00
047105  000661  000661  ---------              38.54410   128.40269     83.65    148.39      5.0   84.0  148.0  2015.12.22.09:00
047105  000670  000670  ---------              38.08724   128.62965     87.82    138.63      4.3   88.0  139.0  2006.12.15.19:00
047105  000671  000671  ---------              38.19090   128.59360     87.13    140.85      3.0   87.0  141.0  2015.07.13.00:00
047105  000695  000695  ---------              38.11619   127.43198     67.40    138.73   1050.1   67.0  139.0  2015.07.13.00:00
047156  000699  000699  ---------              34.98378   126.46108     51.25     70.44     37.9   51.0   70.0  2011.12.19.18:47
047146  000701  000701  ---------              36.00398   127.67191     72.44     92.97    205.8   72.0   93.0  2015.07.13.00:00
047146  000702  000702  ---------              35.94505   126.99440     60.53     91.49     14.5   61.0   91.0  2018.02.01.00:00
047146  000703  000703  ---------              35.76030   127.43740     68.41     87.58    352.2   68.0   88.0  2011.12.26.16:37
047146  000704  000704  ---------              35.62090   126.47750     51.46     84.34      4.6   51.0   84.0  2015.07.13.00:00
047156  000706  000706  ---------              35.31020   126.97270     60.31     77.65     35.3   60.0   78.0  2011.10.18.16:36
047156  000709  000709  ---------              35.19740   127.46180     69.06     75.32     30.0   69.0   75.0  2015.07.13.00:00
047156  000710  000710  ---------              35.02500   126.74400     56.30     71.38      5.8   56.0   71.0  2012.11.20.17:57
047156  000711  000711  ---------              34.92970   126.98860     60.70     69.35     52.2   61.0   69.0  2013.12.16.12:02
047156  000712  000712  ---------              34.94420   127.51010     70.03     69.81      9.5   70.0   70.0  2015.07.13.00:00
047184  000724  000724  ---------              33.95783   126.30157     48.48     47.99      8.1   48.0   48.0  2016.05.26.15:20
047184  000727  000727  ---------              33.40986   126.39293     50.20     35.98    422.9   50.0   36.0  2010.11.16.17:34
047156  000730  000730  ---------              35.27940   126.76100     56.55     76.93     38.2   57.0   77.0  2010.12.09.17:45
047156  000731  000731  ---------              34.81665   126.68634     55.31     66.82      2.2   55.0   67.0  2017.08.25.00:00
047156  000732  000732  ---------              34.76200   127.09220     62.60     65.71    146.3   63.0   66.0  2011.08.19.18:26
047146  000733  000733  ---------              36.04610   126.89170     58.69     93.66     49.1   59.0   94.0  2012.10.10.17:09
047146  000734  000734  ---------              35.98552   127.24574     64.94     92.43     64.0   65.0   92.0  2017.03.03.20:36
047146  000736  000736  ---------              35.84678   126.78400     56.84     89.30      6.0   57.0   89.0  2017.08.25.00:00
047146  000737  000737  ---------              35.80900   126.87770     58.50     88.50     51.4   59.0   89.0  2015.07.13.00:00
047146  000738  000738  ---------              35.59890   126.69980     55.40     83.89     19.9   55.0   84.0  2015.07.13.00:00
047156  000741  000741  ---------              35.05680   126.98430     60.59     72.12     93.9   61.0   72.0  2013.12.28.16:33
047156  000748  000748  ---------              34.83700   127.36300     67.44     67.42      1.6   67.0   67.0  2011.11.17.17:20
047184  000751  000751  ---------              33.48209   126.70904     55.97     37.61    251.1   56.0   38.0  2014.09.25.19:31
047184  000752  000752  ---------              33.30460   126.30600     48.61     33.67    187.0   49.0   34.0  2015.07.13.00:00
047156  000754  000754  ---------              35.06020   126.52640     52.41     72.12     11.0   52.0   72.0  2015.07.13.00:00
047146  000757  000757  ---------              35.97440   127.43600     68.30     92.24    266.6   68.0   92.0  2016.08.01.00:01
047146  000762  000762  ---------              35.51980   127.12610     62.98     82.25    169.0   63.0   82.0  2015.12.24.00:01
047156  000767  000767  ---------              34.58860   127.39750     68.15     62.00     12.0   68.0   62.0  2012.12.18.17:55
047156  000768  000768  ---------              35.28900   127.28900     65.95     77.26    100.0   66.0   77.0  2015.07.13.00:00
047156  000769  000769  ---------              35.19930   126.38340     49.84     75.14      3.2   50.0   75.0  2015.07.13.00:00
047156  000771  000771  ---------              34.72690   126.14460     45.60     64.81      3.6   46.0   65.0  2012.11.30.17:08
